symbol,entrez,uniprot_accession
EDNRB,1910,P24530
EEF1A2,1917,Q05639
EFNA1,1942,P20827
EFNA5,1946,P52803
EFNB1,1947,P98172
EFNB2,1948,P52799
EFNB3,1949,Q15768
EGF,1950,P01133
CELSR3,1951,Q9NYQ7
CELSR2,1952,Q9HCU4
MEGF6,1953,O75095
EGFR,1956,P00533
EGR1,1958,P18146
EHHADH,1962,Q08426
EPHA2,1969,P29317
ELANE,1991,P08246
SERPINB1,1992,P30740
ELAVL2,1993,Q12926
ELAVL3,1995,Q14576
ELAVL4,1996,P26378
ELF3,1999,P78545
ELK3,2004,P41970
ELN,2006,P15502
EML1,2009,O00423
EMP1,2012,P54849
EMP2,2013,P54851
EMP3,2014,P54852
CTTN,2017,Q14247
ENG,2022,P17813
ENO2,2026,P09104
ENO3,2027,P13929
EPAS1,2034,Q99814
EPB41,2035,P11171
EPB41L1,2036,Q9H4G0
EPB41L2,2037,O43491
DMTN,2039,Q08495
STOM,2040,P27105
EPHA1,2041,P21709
EPHA3,2042,P29320
EPHA4,2043,P54764
EPHA7,2045,Q15375
EPHB1,2047,P54762
EPHB2,2048,P29323
EPHB3,2049,P54753
EPHB4,2050,P54760
EPHB6,2051,O15197
EPHX1,2052,P07099
EPHX2,2053,P34913
EPS8,2059,Q12929
ERBB2,2064,P04626
ERBB3,2065,P21860
EREG,2069,O14944
EYA4,2070,O95677
ERG,2078,P11308
ETFB,2109,P38117
ETS1,2113,P14921
ETS2,2114,P15036
ETV1,2115,P50549
ETV4,2118,P43268
ETV5,2119,P41161
EVC,2121,P57679
MECOM,2122,Q03112
EVI2A,2123,P22794
EVI2B,2124,P34910
EVPL,2125,Q92817
EXT1,2131,Q16394
EYA1,2138,Q99502
EYA2,2139,O00167
F2R,2149,P25116
F2RL1,2150,P55085
F2RL2,2151,O00254
F3,2152,P13726
F12,2161,P00748
FAAH,2166,O00519
FABP4,2167,P15090
FABP1,2168,P07148
FABP3,2170,P05413
FABP5,2171,Q01469
FABP6,2172,P51161
FABP7,2173,O15540
ACSL1,2180,P33121
ACSL4,2182,O60488
FAH,2184,P16930
PTK2B,2185,Q14289
FAP,2191,Q12884
FBLN1,2192,P23142
FAT1,2195,Q14517
FAT2,2196,Q9NYQ8
FBLN2,2199,P98095
FBN1,2200,P35555
FBN2,2201,P35556
EFEMP1,2202,Q12805
FBP1,2203,P09467
FCER1G,2207,P30273
FCER2,2208,P06734
FCGR2A,2212,P12318
FCGR2B,2213,P31994
FCGRT,2217,P55899
GPC4,2239,O75487
FES,2242,P07332
FGA,2243,P02671
FGB,2244,P02675
FGD1,2245,P98174
FGF1,2246,P05230
FGF2,2247,P09038
FGF5,2250,P12034
FGF7,2252,P21781
FGF9,2254,P31371
FGF11,2256,Q92914
FGF12,2257,P61328
FGF13,2258,Q92913
FGFR1,2260,P11362
FGFR3,2261,P22607
FGFR2,2263,P21802
FGFR4,2264,P22455
FGG,2266,P02679
FGL1,2267,Q08830
FGR,2268,P09769
FHL1,2273,Q13642
FHL2,2274,Q14192
FHL3,2275,Q13643
FKBP1B,2281,P68106
FKBP5,2289,Q13451
FOXG1,2290,P55316
FOXF2,2295,Q12947
FOXC1,2296,Q12948
FOXD1,2297,Q16676
FOXL1,2300,Q12952
FOXJ1,2302,Q92949
FOXC2,2303,Q99958
FOXE1,2304,O00358
FOXO1,2308,Q12778
FLG,2312,P20930
FLI1,2313,Q01543
MLANA,2315,Q16655
FLNA,2316,P21333
FLNB,2317,O75369
FLNC,2318,Q14315
FLT1,2321,P17948
FLT4,2324,P35916
FMOD,2331,Q06828
FN1,2335,P02751
FOLR1,2348,P15328
FOS,2353,P01100
FOSB,2354,P53539
FOSL2,2355,P15408
FTH1,2495,P02794
FTL,2512,P02792
FUCA1,2517,P04066
FUCA2,2519,Q9BTY2
FUT1,2523,P19526
FUT2,2524,Q10981
FUT3,2525,P21217
FUT4,2526,P22083
FUT8,2530,Q9BYC5
FYB1,2533,O15117
FYN,2534,P06241
FZD2,2535,Q14332
IFI6,2537,P09912
G6PD,2539,P11413
GAGE1,2543,P0DTW1
GAA,2548,P10253
GAB1,2549,Q13480
GABBR1,2550,Q9UBS5
GABRA3,2556,P34903
GABRB3,2562,P28472
GABRE,2564,P78334
GABRP,2568,O00591
GAD1,2571,Q99259
GALC,2581,P54803
B4GALNT1,2583,Q00973
GALNT3,2591,Q14435
GAMT,2593,Q14353
GAP43,2596,P17677
GAS1,2619,P54826
GAS2,2620,O43903
GAS6,2621,Q14393
GAS8,2622,O95995
GATA2,2624,P23769
GATA3,2625,P23771
GATA4,2626,P43694
GATA6,2627,Q92908
GATM,2628,P50440
GBE1,2632,Q04446
GBP1,2633,P32455
GBP2,2634,P32456
GBP3,2635,Q9H0R5
GCH1,2643,P30793
GCHFR,2644,P30047
GCNT1,2650,Q02742
GCNT2,2651,Q8N0V5
GDNF,2668,P39905
GEM,2669,P55040
GFI1,2672,Q99684
GFRA1,2674,P56159
GGT1,2678,P19440
B4GALT1,2683,P15291
GGT7,2686,Q9UJ14
GGT5,2687,P36269
GIPR,2696,P48546
GJA1,2697,P17302
GJA5,2702,P36382
GJB1,2705,P08034
GJB2,2706,P29033
GJB3,2707,O75712
GJB5,2709,O95377
GPC3,2719,P51654
GCLC,2729,P48506
GCLM,2730,P48507
GLDC,2731,P23378
GLI1,2735,P08151
GLI2,2736,P10070
GLI3,2737,P10071
GLRB,2743,P48167
GLRX,2745,P35754
GLUL,2752,P15104
GMPR,2766,P36959
GNA11,2767,P29992
GNA15,2769,P30679
GNAI1,2770,P63096
GNAO1,2775,P09471
GNAQ,2776,P50148
GNAZ,2781,P19086
GNG4,2786,P50150
GNG7,2788,O60262
GNG11,2791,P61952
GNGT2,2793,O14610
SFN,2810,P31947
GPC1,2817,P35052
GPD2,2820,P43304
GPM6A,2823,P51674
GPM6B,2824,Q13491
CMKLR2,2825,P46091
CCR10,2826,P46092
GPR15,2838,P49685
GPR18,2841,Q14330
GPR27,2850,Q9NS67
GPR35,2859,Q9HC97
GPR39,2863,O43194
GPX1,2876,P07203
GPX2,2877,P18283
GPX3,2878,P22352
GPX7,2882,Q96SL4
GRB7,2886,Q14451
GRB10,2887,Q13322
GRB14,2888,Q14449
GRIK2,2898,Q13002
GRIK3,2899,Q13003
GRIK5,2901,Q16478
GRIN1,2902,Q05586
GRIN2D,2906,O15399
NR3C1,2908,P04150
CXCL1,2919,P09341
CXCL2,2920,P19875
CXCL3,2921,P19876
GRP,2922,P07492
GSN,2934,P06396
GSTA1,2938,P08263
GSTA4,2941,O15217
GSTM1,2944,P09488
GSTM2,2946,P28161
GSTM3,2947,P21266
GSTM4,2948,Q03013
GSTP1,2950,P09211
GUCY1A1,2982,Q02108
GUCY1B1,2983,Q02153
GYPC,2995,P04921
GZMB,3002,P10144
H1-0,3005,P07305
H1-2,3006,P16403
HAS2,3037,Q92819
HAS3,3038,O00219
HBA1,3039,P69905
HBA2,3040,P69905
HBB,3043,P68871
HBE1,3046,P02100
HBG2,3048,P69892
HCK,3055,P08631
HCLS1,3059,P14317
HDC,3067,P19113
NCKAP1L,3071,P55160
CFH,3075,P08603
HFE,3077,Q30201
HGD,3081,Q93099
HGF,3082,P14210
NRG1,3084,Q02297
HHEX,3087,Q03014
HIF1A,3091,Q16665
HIP1,3092,O00291
HK1,3098,P19367
HK2,3099,P52789
HLA-A,3105,P04439
HLA-B,3106,P01889
HLA-C,3107,P10321
HLA-DMA,3108,P28067
HLA-DMB,3109,P28068
MNX1,3110,P50219
HLA-DOA,3111,P06340
HLA-DOB,3112,P13765
HLA-DPA1,3113,P20036
HLA-DPB1,3115,P04440
HLA-DQA1,3117,P01909
HLA-DQB1,3119,P01920
HLA-DRA,3122,P01903
HLA-DRB1,3123,P01911
HLA-DRB5,3127,Q30154
HLA-E,3133,P13747
HLA-F,3134,P30511
MR1,3140,Q95460
HLX,3142,Q14774
HMGCS1,3157,Q01581
HMGCS2,3158,P54868
HMGA1,3159,P17096
HMOX1,3162,P09601
NR4A1,3164,P22736
FOXA1,3169,P55317
FOXA2,3170,Q9Y261
FOXA3,3171,P55318
HNF4A,3172,P41235
HNF4G,3174,Q14541
HNMT,3176,P50135
SLC29A2,3177,Q14542
TLX2,3196,O43763
HOXA3,3200,O43365
HOXA4,3201,Q00056
HOXA5,3202,P20719
HOXA6,3203,P31267
HOXA7,3204,P31268
HOXA9,3205,P31269
HOXA10,3206,P31260
HOXA11,3207,P31270
HPCA,3208,P84074
HOXA13,3209,P31271
HOXB2,3212,P14652
HOXB3,3213,P14651
HOXB4,3214,P17483
HOXB5,3215,P09067
HOXB6,3216,P17509
HOXB7,3217,P09629
HOXB8,3218,P17481
HOXB9,3219,P17482
HOXC4,3221,P09017
HOXC6,3223,P09630
HOXC8,3224,P31273
HOXC9,3225,P31274
HOXC10,3226,Q9NYD6
HOXC11,3227,O43248
HOXC13,3229,P31276
HOXD4,3233,P09016
HOXD8,3234,P13378
HOXD9,3235,P28356
HOXD10,3236,P28358
HOXD11,3237,P31277
HOXD13,3239,P35453
HPCAL1,3241,P37235
HPGD,3248,P15428
HPN,3249,P05981
HRH1,3269,P35367
HES1,3280,Q14469
HSD11B2,3291,P80365
HSD17B2,3294,P37059
HSPA2,3306,P54652
HSPB1,3315,P04792
HSPB2,3316,Q16082
IGSF3,3321,O75054
HSPG2,3339,P98160
NDST1,3340,P52848
HTR7,3363,P34969
TNC,3371,P24821
HYAL1,3373,Q12794
ICA1,3382,Q05084
ICAM1,3383,P05362
ICAM2,3384,P13598
ICAM3,3385,P32942
ICAM4,3386,Q14773
IRF8,3394,Q02556
ID1,3397,P41134
ID2,3398,Q02363
ID3,3399,Q02535
ID4,3400,P47928
IDH2,3418,P48735
IDUA,3425,P35475
CFI,3426,P05156
IFI16,3428,Q16666
IFI27,3429,P40305
IFI35,3430,P80217
SP110,3431,Q9HB58
IFIT2,3433,P09913
IFIT1,3434,P09914
IFIT3,3437,O14879
IGF1R,3480,P08069
IGF2,3481,P01344
IGFBP1,3484,P08833
IGFBP2,3485,P18065
IGFBP3,3486,P17936
IGFBP4,3487,P22692
IGFBP5,3488,P24593
IGFBP6,3489,P24592
IGFBP7,3490,Q16270
CCN1,3491,O00622
JCHAIN,3512,P01591
IGLL1,3543,P15814
IL1A,3552,P01583
IL1B,3553,P01584
IL1R1,3554,P14778
IL1RAP,3556,Q9NPH3
IL1RN,3557,P18510
IL2RB,3560,P14784
IL2RG,3561,P31785
IL4R,3566,P24394
IL6,3569,P05231
IL6R,3570,P08887
IL6ST,3572,P40189
IL7,3574,P13232
IL7R,3575,P16871
CXCL8,3576,P10145
IL10RA,3587,Q13651
IL11,3589,P20809
IL11RA,3590,Q14626
IL12RB1,3594,P42701
IL12RB2,3595,Q99665
IL13RA1,3597,P78552
IL13RA2,3598,Q14627
IL15,3600,P40933
IL15RA,3601,Q13261
IL16,3603,Q14005
TNFRSF9,3604,Q07011
IL18,3606,Q14116
IMPA2,3613,O14732
INHBA,3624,P08476
INHBB,3625,P09529
CXCL10,3627,P02778
INPP1,3628,P49441
INPP5D,3635,Q92835
INSIG1,3638,O15503
INSM1,3642,Q01101
INSR,3643,P06213
ITGA6,3655,P23229
IRAK2,3656,O43187
IRF1,3659,P10914
IRF4,3662,Q15306
IRF5,3663,Q13568
IRF6,3664,O14896
IRF7,3665,Q92985
IRS1,3667,P35568
ISG20,3669,Q96AZ6
ISL1,3670,P61371
ISLR,3671,O14498
ITGA1,3672,P56199
ITGA2,3673,P17301
ITGA2B,3674,P08514
ITGA3,3675,P26006
ITGA4,3676,P13612
ITGA5,3678,P08648
ITGA7,3679,Q13683
ITGAL,3683,P20701
ITGAV,3685,P06756
ITGAX,3687,P20702
ITGB1,3688,P05556
ITGB2,3689,P05107
ITGB3,3690,P05106
ITGB4,3691,P16144
ITGB5,3693,P18084
ITGB6,3694,P18564
ITGB7,3695,P26010
ITGB8,3696,P26012
ITPKA,3706,P23677
ITPKB,3707,P27987
ITPR1,3708,Q14643
ITPR2,3709,Q14571
ITPR3,3710,Q14573
IVL,3713,P07476
JAG2,3714,Q9Y219
JAK3,3718,P52333
JUN,3725,P05412
JUNB,3726,P17275
JUP,3728,P14923
ANOS1,3730,P23352
CD82,3732,P27701
KCNC3,3748,Q14003
KCNG1,3755,Q9UIX4
KCNH2,3757,Q12809
KCNJ11,3767,Q14654
KCNJ15,3772,Q99712
KCNJ16,3773,Q9NPI9
KCNK1,3775,O00180
KCNK2,3776,O95069
KCNK3,3777,O14649
KCNMA1,3778,Q12791
KCNN4,3783,O15554
KCNQ1,3784,P51787
KCNQ2,3785,O43526
KCNS3,3790,Q9BQ31
KHK,3795,P50053
KIF3C,3797,O14782
KIF5A,3798,Q12840
KIF5C,3800,O60282
KIFC3,3801,Q9BVG8
KISS1,3814,Q15726
KIT,3815,P10721
KLK1,3816,P06870
KLRC2,3822,P26717
KRT4,3851,P19013
KRT5,3852,P13647
KRT6A,3853,P02538
KRT6B,3854,P04259
KRT7,3855,P08729
KRT8,3856,P05787
KRT13,3860,P13646
KRT14,3861,P02533
KRT15,3866,P19012
KRT16,3868,P08779
KRT17,3872,Q04695
KRT18,3875,P05783
KRT19,3880,P08727
KRT34,3885,O76011
KRT81,3887,Q14533
KRT86,3892,O43790
L1CAM,3897,P32004
LAD1,3898,O00515
AFF3,3899,P51826
LAIR1,3903,Q6GTX8
LAMA3,3909,Q16787
LAMA4,3910,Q16363
LAMA5,3911,O15230
LAMB1,3912,P07942
LAMB2,3913,P55268
LAMB3,3914,Q13751
LAMC1,3915,P11047
LAMC2,3918,Q13753
LCK,3932,P06239
LCN2,3934,P80188
LCP1,3936,P13796
LCP2,3937,Q13094
LDHB,3945,P07195
LEPR,3953,P48357
LFNG,3955,Q8NES3
LGALS1,3956,P09382
LGALS3,3958,P17931
LGALS3BP,3959,Q08380
LGALS4,3960,P56470
LGALS9,3965,O00182
LHX1,3975,P48742
LIF,3976,P15018
LIFR,3977,P42702
ABLIM1,3983,O14639
LIPA,3988,P38571
LIPC,3990,P11150
LIPE,3991,Q05469
FADS1,3992,O60427
LLGL2,3993,Q6P1M3
FADS3,3995,Q9Y5Q0
LMNA,4000,P02545
LMO2,4005,P25791
LMO7,4008,Q8WWI1
VWA5A,4013,O00534
LOX,4015,P28300
LOXL1,4016,Q08397
LOXL2,4017,Q9Y4K0
LPL,4023,P06858
IRAG2,4033,Q12912
LRP1,4035,Q07954
LRP3,4037,O75074
LRP4,4038,O75096
LRP5,4041,O75197
LSAMP,4045,Q13449
LSP1,4046,P33241
LTA,4049,P01374
LTB,4050,Q06643
CYP4F3,4051,Q08477
LTBP1,4052,Q14766
LTBP2,4053,Q14767
LTBP3,4054,Q9NS15
LTBR,4055,P36941
LTK,4058,P29376
BCAM,4059,P50895
LUM,4060,P51884
LY6E,4061,Q16553
LY9,4063,Q9HBG7
LY75,4065,O60449
LYL1,4066,P12980
LYN,4067,P07948
SH2D1A,4068,O60880
LYZ,4069,P61626
TACSTD2,4070,P09758
TM4SF1,4071,P30408
EPCAM,4072,P16422
MAB21L1,4081,Q13394
MARCKS,4082,P29966
SMAD1,4086,Q15797
SMAD3,4088,P84022
SMAD4,4089,Q13485
SMAD6,4091,O43541
SMAD7,4092,O15105
SMAD9,4093,O15198
