symbol,entrez,uniprot_accession
CCRL2,9034,O00421
SEMA5A,9037,Q13591
DOK2,9046,O60496
SH2D2A,9047,Q9NP31
ARTN,9048,Q5T4W7
PSTPIP2,9050,Q9H939
PSTPIP1,9051,O43586
GPRC5A,9052,Q8NFJ5
MAP7,9053,Q14244
SLC7A7,9056,Q9UM01
PAPSS2,9060,O95340
SYT7,9066,O43581
CLDN12,9069,P56749
CLDN10,9071,P78369
CLDN6,9074,P56747
CLDN2,9075,P57739
CLDN1,9076,O95832
DIRAS3,9077,O95661
LDB2,9079,O43679
CLDN9,9080,O95484
EIF1AY,9086,O14602
TBX18,9096,O95935
NMI,9111,Q13287
INA,9118,Q16352
SLC16A6,9120,O15403
SLC16A5,9121,O15375
SLC16A4,9122,O15374
SLC16A3,9123,O15427
PDLIM1,9124,O00151
CCNE2,9134,O96020
SYNGR3,9143,O43761
SYNGR2,9144,O43760
SYNGR1,9145,O43759
NEURL1,9148,O76050
DYRK1B,9149,Q9Y463
DGKI,9162,O75912
TMSB10,9168,P63313
LPAR2,9170,Q9HBW0
MYOM2,9172,P54296
IL1RL1,9173,Q01638
MAP3K13,9175,O43283
OSMR,9180,Q99650
SLC16A7,9194,O60669
HACD1,9200,B0YJ81
DCLK1,9201,O15075
FCMR,9214,O60667
LARGE1,9215,O95461
MAGI1,9223,Q96QZ7
DLG5,9231,Q8TDM6
IL32,9235,P24001
CCPG1,9236,Q9ULG6
NOG,9241,Q13253
MSC,9242,O60682
CRLF1,9244,O75462
GCNT3,9245,O95395
UBE2L6,9246,O14933
DHRS3,9249,O75911
TSPOAP1,9256,O95153
PDLIM7,9260,Q9NR12
STK17A,9263,Q9UEE5
CYTH3,9265,O43739
ADGRG1,9289,Q9Y653
CD83,9308,Q01151
KLF4,9314,O43474
NREP,9315,Q16612
PTER,9317,Q96BW5
TRIP10,9322,Q15642
HMGN3,9324,Q15651
B4GALT6,9331,Q9UBX8
TCEAL1,9338,Q15170
NHERF2,9351,Q15599
SLIT2,9353,O94813
LHX2,9355,P50458
ITGBL1,9358,O95965
RAB33A,9363,Q14088
NHERF1,9368,O14745
LIPG,9388,Q9Y5X9
HS6ST1,9394,O60243
NMT2,9397,O60551
GRAP2,9402,O75791
LPXN,9404,O60711
ARHGAP29,9411,Q52LW3
TJP2,9414,Q9UDY2
FADS2,9415,O95864
NTN1,9423,O95631
KCNK6,9424,Q9Y257
ABCG2,9429,Q9UNQ0
CHST2,9435,Q9Y4C5
QKI,9444,Q96PU8
ITM2B,9445,Q9Y287
GSTO1,9446,P78417
AIM2,9447,O14862
MAP4K4,9448,O95819
LY86,9450,O95711
ITM2A,9452,O43736
HOMER3,9454,Q9NSC5
HOMER2,9455,Q9NSB8
ARHGEF6,9459,Q15052
RASAL2,9462,Q9UJF2
HAND2,9464,P61296
IL27RA,9466,Q6UWB1
SH3BP5,9467,O60239
CHST3,9469,Q7LGC8
AKAP6,9472,Q13023
THEMIS2,9473,Q5TEJ8
NAPSA,9476,O96009
MAPK8IP1,9479,Q9UQF2
ONECUT2,9480,O95948
SLC25A27,9481,O95847
CHST10,9486,O43529
SLC4A8,9498,Q2Y0W8
MAGED1,9500,Q9Y5V3
RPH3AL,9501,Q9UNE2
ADAMTS2,9509,O95450
ADAMTS1,9510,Q9UHI8
GAL3ST1,9514,Q99999
LITAF,9516,Q99732
GDF15,9518,Q99988
BAG3,9531,O95817
ZNF254,9534,O75437
GMFG,9535,O60234
PTGES,9536,O14684
TP53I11,9537,O14683
TP53I3,9540,Q53FA7
RAB3D,9545,O95716
CXCL14,9547,O95715
BCAR1,9564,P56945
GTF2IRD1,9569,Q9UHL9
CDC42BPB,9578,Q9Y5S2
SOX13,9580,Q9UN79
APOBEC3B,9582,Q9UH17
CREB5,9586,Q02930
AKAP12,9590,Q02952
CYTIP,9595,O60759
NFE2L3,9603,Q9Y4A8
RAB36,9609,O95755
RIN1,9610,Q13671
GDA,9615,Q9Y2T3
ABCG1,9619,P45844
CELSR1,9620,Q9NYQ6
SNCAIP,9627,Q9Y6H5
TESMIN,9633,Q9Y4I5
CLCA2,9635,Q9UQC9
ISG15,9636,P05161
FEZ1,9638,Q99689
ARHGEF10,9639,O15013
IKBKE,9641,Q14164
SH3PXD2A,9644,Q5TCZ1
MICAL2,9645,O94851
PLCH2,9651,O75038
ZNF516,9658,Q92618
PDE4DIP,9659,Q5VU43
SDC3,9672,O75056
KIAA0040,9674,Q15053
GREB1,9687,Q4ZG55
TRAM2,9697,Q15035
RIMS2,9699,Q9UQ26
ST18,9705,O60284
ULK2,9706,Q8IYT8
SEMA3E,9723,O15041
TMEM63A,9725,O94886
KIAA0408,9729,Q6ZU52
DOCK4,9732,Q8N1I0
HDAC9,9734,Q9UKV0
ARHGAP32,9743,A7KAX9
ACAP1,9744,Q15027
CLSTN3,9746,Q9BQT9
TCAF1,9747,Q9Y4C2
PHACTR2,9749,O75167
RIPOR2,9750,Q9Y4F9
TBKBP1,9755,A7MCY6
TOX,9760,O94900
LZTS3,9762,O60299
RASSF2,9770,P50749
RAPGEF5,9771,Q92565
PIEZO1,9780,Q92508
RNF144A,9781,P50876
RIMS3,9783,Q9UJD0
MTSS1,9788,O43312
SCRN1,9805,Q12765
SPOCK2,9806,Q92563
CTIF,9811,O43310
ARMCX2,9823,Q7L311
ARHGEF17,9828,Q96PE2
DNAJC6,9829,O75061
JAKMIP2,9832,Q96AA8
ZEB2,9839,O60315
TESPA1,9840,A2RU30
HEPH,9843,Q9BQS7
ELMO1,9844,Q92556
GAB2,9846,Q9UQC2
MFAP3L,9848,O75121
RUSC2,9853,Q8N2Y8
PPP1R26,9858,Q5T8A7
CEP170,9859,Q5SW79
TRANK1,9881,O15050
TBC1D4,9882,O60343
RHOBTB1,9886,O94844
NUAK1,9891,O60285
SV2A,9900,Q7L0J3
MRC2,9902,Q9UBG0
TMCC2,9911,O75069
ATP2C2,9914,O75185
ARNT2,9915,Q9HBZ2
KBTBD11,9920,O94819
MAFB,9935,Q9Y5Q3
CD302,9936,Q8IX05
ARHGAP25,9938,P42331
GFPT2,9945,O94808
MAGEC1,9947,O60732
HS3ST3B1,9953,Q9Y662
HS3ST3A1,9955,Q9Y663
HS3ST1,9957,O14792
MVP,9961,Q14764
FGF19,9965,O95750
TNFSF15,9966,O95150
CLEC2B,9976,Q92478
FGFBP1,9982,Q14512
REC8,9985,O95072
AKT3,10000,Q9Y243
KCNE3,10008,Q9Y6H6
SH2B3,10019,Q9UQQ2
GNE,10020,Q9Y223
TOM1L1,10040,O75674
SH2D3C,10044,Q8N5H7
SH2D3A,10045,Q9BRG2
MAMLD1,10046,Q13495
GJC1,10052,P36383
AP1M2,10053,Q9Y6Q5
ABCB6,10058,Q9NP58
PTPRU,10076,Q92729
TSPAN32,10077,Q96QS1
ATP9A,10079,O75110
GPC6,10082,Q9Y625
USH1C,10083,Q9Y6N9
EDIL3,10085,O43854
UST,10090,Q9Y2C2
ARPC1B,10095,O15143
TSPAN5,10098,P62079
TSPAN2,10100,O60636
TSPAN1,10103,O60635
SGK2,10110,Q9HBY8
ARL4C,10123,P56559
ARL4A,10124,P40617
RASGRP1,10125,O95267
FRY,10129,Q5TBA9
OPTN,10133,Q96CV9
NAMPT,10135,P43490
TOB1,10140,P50616
FAM13A,10144,O94988
EBI3,10148,Q14213
MBNL2,10150,Q5VZF2
PLXNC1,10154,O60486
RASA4,10156,O43374
AASS,10157,Q9UDR5
PDZK1IP1,10158,Q13113
FARP1,10160,Q9Y4F1
LPAR6,10161,P43657
DHRS9,10170,Q9BPW9
ZNF256,10172,Q9Y2P7
SORBS3,10174,O60504
LHFPL2,10184,Q6ZUX7
LHFPL6,10186,Q9Y693
DHRS2,10202,Q13268
CALCRL,10203,Q16602
MPZL2,10205,O60487
PATJ,10207,Q8NI35
CTDSPL,10217,O15194
TRIB1,10221,Q96RU8
GPA33,10223,Q99795
CD96,10225,P40200
PLIN3,10226,O60664
RCAN2,10231,Q14206
MSLN,10232,Q13421
LRRC17,10234,Q8N6Y2
RASGRP2,10235,Q7LDG7
SPRY1,10252,O43609
SPRY2,10253,O43597
CNKSR1,10256,Q969H4
ABCC4,10257,O15439
IRX5,10265,P78411
RAMP2,10266,O60895
RAMP1,10267,O60894
FSTL3,10272,O95633
NET1,10276,Q7Z628
EFS,10278,O43281
PRSS16,10279,Q9NQE7
SPEG,10290,Q15772
CCNO,10309,P22674
TCIRG1,10312,Q13488
B3GALT5,10317,Q9Y2C3
IKZF1,10320,Q13422
CRISP3,10321,P54108
B3GNT3,10331,Q9Y2A9
TLR6,10333,Q9Y2C9
CCL26,10344,Q9Y258
TRIM22,10346,Q8IYM9
ABCA7,10347,Q8IZY2
NPM2,10361,Q86SE8
KLF2,10365,Q9Y5W3
CITED2,10370,Q99967
SEMA3A,10371,Q14563
IRF9,10379,Q00978
TUBB3,10381,Q13509
TUBB4A,10382,P04350
BTN3A3,10384,O00478
BTN2A2,10385,Q8WVV5
SYCP2,10388,Q9BX26
SCML2,10389,Q9UQR0
CORO2B,10391,Q9UQ03
DLC1,10395,Q96QB1
ATP8A1,10396,Q9Y2Q0
NDRG1,10397,Q92597
MYL9,10398,P24844
ST3GAL6,10402,Q9Y274
CPQ,10404,Q9Y646
WFDC2,10406,Q14508
BASP1,10409,P80723
IFITM3,10410,Q01628
RAPGEF3,10411,O95398
YAP1,10413,P46937
SPON2,10417,Q9BUD6
SPON1,10418,Q9HCB6
CDC42EP2,10435,O14613
IFI30,10437,P13284
OLFM1,10439,Q99784
LRRN2,10446,O75325
FAM3C,10447,Q92520
ACAA2,10449,P42765
VAV3,10451,Q9UKW4
ECI2,10455,O75521
GPNMB,10457,Q14956
BAIAP2,10458,Q9UQB8
MERTK,10461,Q12866
FST,10468,P19883
ZBTB18,10472,Q99592
HOXB13,10481,Q92826
CAP2,10486,P40123
CRTAP,10491,O75718
VAT1,10493,Q99536
UNC13B,10497,O14795
SEMA6B,10501,Q9H3T3
SEMA4D,10507,Q92854
SEMA4B,10509,Q9NPR2
SEMA3C,10512,Q99985
FBLN5,10516,Q9UBX5
CIB2,10518,O75838
NEBL,10529,O76041
P3H3,10536,Q8IVL6
UBD,10537,O15205
BATF,10538,Q16520
PROCR,10544,Q9UNN8
AGR2,10551,O95994
HTATIP2,10553,Q9BUP3
AGPAT2,10555,O15120
IFI44,10561,Q8TCB0
SLC34A2,10568,O95436
DPYSL4,10570,O14531
NPC2,10577,P61916
TACC2,10579,O95359
SORBS1,10580,Q9BX66
IFITM2,10581,Q01629
SCGN,10590,O76038
ERN2,10595,Q76MJ5
CDC42EP3,10602,Q9UKI2
SH2B2,10603,O14492
P3H4,10609,Q92791
ST6GALNAC2,10610,Q9UJ37
PDLIM5,10611,Q96HC4
POLR3G,10622,O15318
TRIM16,10626,O95361
TXNIP,10628,Q9H3M7
PDPN,10630,Q86YL7
POSTN,10631,Q15063
GAS2L1,10634,Q99501
RGS14,10636,O43566
IGF2BP1,10642,Q9NZI8
IGF2BP3,10643,O00425
IGF2BP2,10644,Q9Y6M1
SPINT2,10653,O43291
KHDRBS3,10656,O75525
CELF2,10659,O95319
CGREF1,10669,Q99674
DLL3,10683,Q9NYJ7
CLDN16,10686,Q9Y5I7
PNMA2,10687,Q9UL42
CERS1,10715,P27544
SLC12A7,10723,Q9Y666
STAG3,10734,Q9UJ98
SIX2,10736,Q9NPC8
GRAP,10750,Q13588
CHL1,10752,O00533
GIPC1,10755,O14908
TRAF3IP2,10758,O43734
NES,10763,P48681
KDM5B,10765,Q9UGL1
PLK2,10769,Q9NYY3
ARPP21,10777,Q9UBL0
NEK6,10783,Q9HC98
NCKAP1,10787,Q9Y2A7
IQGAP2,10788,Q13576
VAMP5,10791,O95183
MTHFD2,10797,P13995
GJB6,10804,O95452
STARD10,10809,Q9Y365
WASF3,10810,Q9UPY6
CPLX2,10814,Q6PUV4
CPLX1,10815,O14810
FAXDC2,10826,Q96IV6
ALDH1L1,10840,O75891
PDE10A,10846,Q9Y233
PPP1R13L,10848,Q8WUF5
HPSE,10855,Q9Y251
ADAM28,10863,Q9UKQ2
ARID5A,10865,Q03989
TSPAN9,10867,O75954
HCST,10870,Q9UBK5
ME3,10873,Q16798
NMU,10874,P48645
C1QL1,10882,O75973
PPARGC1A,10891,Q9UBK2
MMP24,10893,Q9Y5R2
RUNDC3A,10900,Q59EK9
MTMR11,10903,A4FU01
GADD45G,10912,O95257
MAGED2,10916,Q9UNF1
SMPDL3A,10924,Q92484
PRSS21,10942,Q9Y6M0
BTG3,10950,Q14201
MLLT11,10962,Q13015
IFI44L,10964,Q53G44
ACOT2,10965,P49753
CKAP4,10970,Q07065
ADIRF,10974,Q15847
FERMT2,10979,Q96AC1
RAB32,10981,Q13637
MAPRE2,10982,Q15555
SLC27A5,10998,Q9Y2P5
SLC27A3,11000,Q5K4L6
SLC27A2,11001,O14975
SPINK5,11005,Q9NQ38
LILRB4,11006,Q8NHJ6
IL24,11009,Q13007
GLIPR1,11010,P48060
KLK11,11012,Q9UBX7
KDELR3,11015,O43731
LILRA2,11027,Q8N149
RBPMS,11030,Q93062
RAB31,11031,Q13636
ADAP1,11033,O75689
DSTN,11034,P60981
RIPK3,11035,Q9Y572
PIM2,11040,Q9P1W9
MID2,11043,Q9UJV3
SLC35D2,11046,Q76EJ3
ABHD2,11057,P08910
DEPP1,11067,Q9NTK1
TRIM31,11074,Q9BZY9
STMN2,11075,Q93045
ESM1,11082,Q9NQ30
PRSS23,11098,O95084
PTPN21,11099,Q16825
PRDM5,11107,Q9NQX1
EMILIN1,11117,Q9Y6C2
BTN3A2,11118,P78410
BTN3A1,11119,O00481
RCAN3,11123,Q9UKA8
CDC42EP1,11135,Q00587
TBC1D8,11138,O95759
PKIG,11142,Q9Y2B9
DMC1,11144,Q14565
PLAAT3,11145,P53816
BVES,11149,Q8NE79
CORO1A,11151,P31146
PTP4A3,11156,O75365
FSTL1,11167,Q12841
ADAMTS7,11173,Q9UKP4
ADAMTS6,11174,Q9UKP5
LZTS1,11178,Q9Y250
SLC2A6,11182,Q9UGQ3
MAP4K1,11184,Q92918
PKP3,11187,Q9Y446
CELF3,11189,Q5SZQ8
ANXA10,11199,Q9UJ72
KLK8,11202,O60259
IRAK3,11213,Q9Y616
DUSP10,11221,Q9Y6W6
GALNT6,11226,Q8NCL4
GALNT5,11227,Q7Z7M9
RASSF8,11228,Q8NHQ8
PRAF2,11230,O60831
RNF24,11237,Q9Y225
PADI2,11240,Q9Y2J8
GPR176,11245,Q14439
NXPH4,11247,O95158
SLC6A14,11254,Q9UN76
FILIP1L,11259,Q4L180
SP140,11262,Q13342
USP18,11274,Q9UMW8
TREX1,11277,Q9NSU2
SLCO2B1,11309,O94956
CD300A,11314,Q9UGN4
MGAT4A,11320,Q9UM21
TMC6,11322,Q7Z403
FKBP9,11328,O95302
MGLL,11343,Q99685
SYNPO,11346,Q8N3V7
NID2,22795,Q14112
TFEC,22797,O14948
RRAS2,22800,P62070
ITGA11,22801,Q9UKX5
IKZF3,22806,Q9UKT9
IKZF2,22807,Q9UKS7
MRAS,22808,O14807
ATF5,22809,Q9Y2D1
RASA3,22821,Q14644
PHLDA1,22822,Q8WV24
HSPA4L,22824,O95757
NLGN4Y,22829,Q8NFZ3
ZFP30,22835,Q9Y2G7
RHOBTB3,22836,O94955
COBLL1,22837,Q53SF7
PPM1E,22843,Q8WY54
VASH1,22846,Q7L8A9
NTNG1,22854,Q9Y2I2
ADGRL1,22859,O94910
NLRP1,22861,Q9C000
CNKSR2,22866,Q8WXI2
NLGN1,22871,Q8N2Q7
DZIP1,22873,Q86YF9
PLEKHA6,22874,Q9Y2H5
ENPP4,22875,Q9Y6X5
ANKRD6,22881,Q9Y2G4
ZHX2,22882,Q9Y6X8
ABLIM3,22885,O94929
DENND3,22898,A2RUS2
BTBD3,22903,Q9Y2F9
EPN2,22905,O95208
MAPRE3,22924,Q9UPY8
PLA2R1,22925,Q13018
HABP4,22927,Q5JVS0
ELL2,22936,O00472
SHANK2,22941,Q9UPX8
DKK1,22943,O94907
PTGR1,22949,Q14914
AKR7A3,22977,O95154
EFR3B,22979,Q9Y2G0
NINL,22981,Q9Y2I6
DIP2C,22982,Q9Y2E4
MAST1,22983,Q9Y2H9
TTC39A,22996,Q5SRH9
IGSF9B,22997,Q9UPX0
LIMCH1,22998,Q9UPQ0
WDFY3,23001,Q8IZQ1
DAAM1,23002,Q9Y4D1
PLCH1,23007,Q4KWH8
GOLGA8A,23015,A7E2F4
PALLD,23022,Q8WX93
PDZRN3,23024,Q9UPQ7
UNC13A,23025,Q9UPW8
SAMD4A,23034,Q9UPU9
PDZD2,23037,O15018
MYT1L,23040,Q9UL68
TNIK,23043,Q9UKE5
KIF21B,23046,O75037
FNBP1,23048,Q96RU3
ENDOD1,23052,O94919
NMNAT2,23057,Q9BZQ4
SWAP70,23075,Q9UH65
PEG10,23089,Q86TG7
ARHGAP26,23092,Q9UNA1
IQSEC2,23096,Q5JU85
SARM1,23098,Q6SZW1
RAP1GAP2,23108,Q684P5
SPART,23111,Q8N0X7
NFASC,23114,O94856
ATP10B,23120,O94823
COLGALT2,23127,Q8IYK4
PLXND1,23129,Q9Y4D7
EPB41L3,23136,Q9Y2J2
NACAD,23148,O15069
FCHO1,23149,O14526
FRMD4B,23150,Q9Y2L6
SEPTIN6,23157,Q14141
TBC1D9,23158,Q6ZT07
RGL1,23179,Q9NZL6
RFTN1,23180,Q14699
PHLDB1,23187,Q86UU1
KANK1,23189,Q14678
CYFIP1,23191,Q7L576
FBXL7,23194,Q9UJT9
SYT11,23208,Q9BT88
MLC1,23209,Q15049
SULF1,23213,Q8IWU6
TBC1D1,23216,Q86TI0
NBEAL2,23218,Q6ZNJ1
DTX4,23220,Q9Y2E6
SYNE2,23224,Q8WXH0
NUP210,23225,Q8TEM1
PLCL2,23228,Q9UPR0
SEL1L3,23231,Q68CR1
PLCB1,23236,Q9NQ66
TMEM131L,23240,A2VDJ0
COBL,23242,O75128
ATP11A,23250,P98196
KAZN,23254,Q674X7
MTCL1,23255,Q9Y4B5
DENND5A,23258,Q6IQ26
MCF2L,23263,O15068
ADGRL2,23266,O95490
DNMBP,23268,Q6XZF7
CAMSAP2,23271,Q08AD1
ADGRL3,23284,Q9HAR2
WWC1,23286,Q8IX03
WSCD1,23302,Q658N2
DMXL2,23312,Q8TDJ6
SATB2,23314,Q9UPW6
TRIM2,23321,Q9C040
NEDD4L,23327,Q96PU5
SASH1,23328,O94885
TBC1D30,23329,Q9Y2I9
TTC28,23331,Q96AY4
DPY19L1,23333,Q2PZI1
SYNM,23336,O15061
SYNE1,23345,Q8NF91
DOCK9,23348,Q9BZ29
PSD3,23362,Q9NYI0
OBSL1,23363,O75147
ARHGEF12,23365,Q9NZN5
MATCAP2,23366,Q8NCT3
TNS2,23371,Q63HR2
COTL1,23406,Q14019
NCS1,23413,P62166
GRIP1,23426,Q9Y3R0
SLC7A8,23428,Q9UHI5
GPR161,23432,Q8N6U8
ANGPTL2,23452,Q9UKU9
ABCA5,23461,Q8WWZ7
HEY1,23462,Q9Y5J3
NPTXR,23467,O95502
ETHE1,23474,O95571
QPRT,23475,Q15274
CES3,23491,Q6UWW8
TNFRSF13B,23495,O14836
HAAO,23498,P46952
DAAM2,23500,Q86T65
RIMBP2,23504,O15034
TTC9,23508,Q92623
ARHGAP45,23526,Q92619
CLCF1,23529,Q9UBD9
NNT,23530,Q13423
MMD,23531,Q15546
PRAME,23532,P78395
SEC14L2,23541,O76054
MAPK8IP2,23542,Q13387
RBFOX2,23543,O43251
SEZ6L,23544,Q9BYH1
PSD4,23550,Q8NDX1
CDK20,23552,Q8IZL9
TSPAN12,23554,O95859
TSPAN15,23555,O95858
DDAH2,23564,O95865
LPAR3,23566,Q9UBY5
DDAH1,23576,O94760
CDC42EP4,23580,Q9H3Q1
RIGI,23586,O95786
OPN3,23596,Q9H1Y3
ACOT9,23597,Q9Y305
PHLDA3,23612,Q9Y5J5
SH3BP1,23616,Q9Y3L3
BACE1,23621,P56817
CBLC,23624,Q9ULV8
SSBP2,23635,P81877
LDOC1,23641,O95751
LY96,23643,Q9Y6Y9
PPP1R15A,23645,O75807
SSBP3,23648,Q9BWW4
TRIM29,23650,Q14134
PLXNB2,23654,O15031
SLC7A11,23657,Q9UPY5
CEMIP2,23670,Q9UHN6
SH3BP4,23677,Q9P0V3
RAB38,23682,P57729
PRKD3,23683,O94806
KCNE4,23704,Q8WWG9
CADM1,23705,Q9BY67
GSPT2,23708,Q8IYD1
GABARAPL1,23710,Q9H0R8
BHMT2,23743,Q9H2M3
OSBP2,23762,Q969R2
MAFF,23764,Q9ULX9
FLRT3,23767,Q9NZU0
FLRT2,23768,O43155
ARHGAP8,23779,P85298
APOL2,23780,Q9BQE5
IFIT5,24138,Q13325
LAMP5,24141,Q9UJQ1
FJX1,24147,Q86VR8
KIAA1549L,25758,Q6ZVL6
SHC2,25759,P98077
RASGRP3,25780,Q8IV61
TMEM59L,25789,Q9UK28
NGEF,25791,Q8N5V2
QPCT,25797,Q16769
GCA,25801,P28676
SPDEF,25803,O95238
BAMBI,25805,Q13145
TNFAIP8,25816,O95379
TAFA5,25817,Q7Z5A7
KLK5,25818,Q9Y337
DNAJB5,25822,O75953
BACE2,25825,Q9Y5Z0
SULT4A1,25830,Q9BR01
RAB26,25837,Q9ULW5
TMT1A,25840,Q9H8H3
ABTB2,25841,Q8N961
PARM1,25849,Q6UWI2
FAM149A,25854,A5PLN7
WHRN,25861,Q9P202
MXRA5,25878,Q9NR99
ABI3BP,25890,Q7Z7G0
PAMR1,25891,Q6UXH9
TRIM58,25893,Q8NG06
PLEKHG4,25894,Q58EX7
IFFO1,25900,Q0D2I5
OLFML2B,25903,Q68BL8
TMEM158,25907,Q8WZ71
ZNF521,25925,Q96K83
CNRIP1,25927,Q96F85
SOSTDC1,25928,Q6X4U4
CLIC4,25932,Q9Y696
WWTR1,25937,Q9GZV5
SAMHD1,25939,Q9Y3Z3
NECTIN3,25945,Q9NQS3
ZNF385A,25946,Q96PM9
SEC31B,25956,Q9NQW1
KANK2,25959,Q63ZY3
ADGRA2,25960,Q96PE1
C2CD2,25966,Q9Y426
KRT23,25984,Q9C075
TSKU,25987,Q8WUA8
SNED1,25992,Q8TER0
CLIP3,25999,Q96DZ5
MOXD1,26002,Q6UVY6
SPATS2L,26010,Q9NUQ6
TENM4,26011,Q6N022
LRIG1,26018,Q96JA1
LRP10,26020,Q7Z4F1
TMEM98,26022,Q9Y2Y6
ACOT11,26027,Q8WXI4
PLEKHG3,26030,A1L390
OSBPL3,26031,Q9H4L5
SUSD5,26032,O60279
ATRNL1,26033,Q5VV63
SETBP1,26040,Q9Y6X0
CNTNAP2,26047,Q9UHC6
FAM169A,26049,Q9Y6X4
PPP1R16B,26051,Q96T49
AUTS2,26053,Q8WXX7
RAB11FIP5,26056,Q9BXF6
RAI14,26064,Q9P0K7
RTL8A,26071,Q9BWD3
ARHGEF26,26084,Q96DR7
GPSM1,26086,Q86YR5
PTPN20,26095,Q4JDL3
PYGO1,26108,Q9Y3Y4
CCDC69,26112,A6NI79
TANC2,26115,Q9HCD6
LDLRAP1,26119,Q5SW96
TES,26136,Q9UGI8
TTLL3,26140,Q9Y4R7
RIBC2,26150,Q9H4K1
KIF26A,26153,Q9ULI4
GIMAP2,26157,Q9UG22
PTPN22,26191,Q9Y2R2
PITPNC1,26207,Q9UKF7
PHGDH,26227,O43175
STAP1,26228,Q9ULZ2
FBXO2,26232,Q9UK22
FAM50B,26240,Q9Y247
CABYR,26256,O75952
FBXO6,26270,Q9NRD1
SACS,26278,Q9NZJ4
AK5,26289,Q9Y6K8
EHF,26298,Q9NZC4
GBGT1,26301,Q8N5D6
HSPB8,26353,Q9UJY1
SEZ6L2,26470,Q6UXD5
NUPR1,26471,O60356
PLEK2,26499,Q9NYT0
MYOF,26509,Q9NZM1
LATS2,26524,Q9NRM7
PCOLCE2,26577,Q9UKZ9
MYEOV,26579,Q96EZ4
GREM1,26585,O60565
GAGE2E,26749,Q9UEU5
SH3YL1,26751,Q96HL8
HAVCR1,26762,Q96D42
STEAP1,26872,Q9UHE8
OPLAH,26873,O14841
NBEA,26960,Q8NFP9
GPR160,26996,Q9UJ42
CYFIP2,26999,Q96F07
BEX3,27018,Q00994
LAT,27040,O43561
ANKRD1,27063,Q15327
NSG1,27065,P42857
DAPP1,27071,Q9UN19
LAMP3,27074,Q9UQV4
TSPAN13,27075,O95857
LYPD3,27076,O95274
FOXP1,27086,Q9H334
B3GAT1,27087,Q9P2W7
ST6GALNAC4,27090,Q9H4F1
CACNG4,27092,Q9UBN1
SDCBP2,27111,Q9H190
DKK3,27122,Q9UBP4
INPP5J,27124,Q15735
CYTH4,27128,Q9UIA0
HSPB7,27129,Q9UBY9
CPNE7,27132,Q9UBL6
TJP3,27134,O95049
PALD1,27143,Q9ULE6
DENND2A,27147,Q9ULE3
NAAA,27163,Q02083
GLS2,27165,Q9UI32
HCAR1,27198,Q9BXC0
ARHGEF16,27237,Q5VV41
GPR162,27239,Q16538
SIT1,27240,Q9Y3P8
TNFRSF21,27242,O75509
PDCD4,27250,Q53EL6
SRPX2,27286,O60687
RND1,27289,Q92730
SPINK4,27290,O60575
SMPDL3B,27293,Q92485
PDLIM3,27295,Q53GG5
ZNF544,27300,Q6NX49
RBMS3,27303,Q6XE24
RAB30,27314,Q15771
TOX3,27324,O15405
RPS6KA6,27330,Q9UK32
GOLIM4,27333,O00461
P2RY10,27334,O00398
PCSK1N,27344,Q9UHG2
STK39,27347,Q9UEW8
APOBEC3C,27350,Q9NRW3
PCLO,27445,Q9Y6V0
SLCO4A1,28231,Q96BD0
SLCO3A1,28232,Q9UIG8
SLCO1B3,28234,Q9NPD5
CDH19,28513,Q9H159
DLL1,28514,O00548
TRIB2,28951,Q92519
TMEM176B,28959,Q3YBM2
OSTM1,28962,Q86WC4
SNX24,28966,Q9Y343
TMPRSS11E,28983,Q9UL52
RGCC,28984,Q9H4X1
MAGEH1,28986,Q9H213
HIPK2,28996,Q9H2X6
SLC43A3,29015,Q8NBI5
STXBP6,29091,Q8NFX7
LGALSL,29094,Q3ZCW2
DNAJC15,29103,Q9Y5T4
SCG3,29106,Q8WXD2
PYCARD,29108,Q9ULZ3
C6orf15,29113,Q6UXA7
TAGLN3,29114,Q9UI15
CLEC2D,29121,Q9UHP7
C11orf21,29125,Q9P2W6
CD274,29126,Q9NZQ7
BLNK,29760,Q8WV28
PACSIN3,29763,Q9UKS6
TMOD2,29767,Q9NZR1
CARD10,29775,Q9BWT7
PARVB,29780,Q9HBI1
CYP2S1,29785,Q96SQ9
YPEL1,29799,O60688
ZDHHC1,29800,Q8WTX9
VPREB3,29802,Q9UKI3
GRHL1,29841,Q9NZI5
TFCP2L1,29842,Q9NZI6
SNX10,29887,Q9Y5X0
CCDC106,29903,Q9BWC9
ST8SIA5,29906,O15466
GPR132,29933,Q9UNW8
DSE,29940,Q9UL01
PKN3,29941,Q6P5Z2
PADI1,29943,Q9ULC6
OSGIN1,29948,Q9UJX0
DPP7,29952,Q9UHL4
TRHDE,29953,Q9UKU6
SLC25A24,29957,Q6NUK1
CDIP1,29965,Q9H305
LRP12,29967,Q9Y561
PSAT1,29968,Q9Y617
MDFIC,29969,Q9P1T7
SCHIP1,29970,P0DPB3
RHOD,29984,O00212
SLC2A8,29988,Q9NY64
PACSIN1,29993,Q9BY11
LMCD1,29995,Q9NZU5
EFEMP2,30008,O95967
SH3KBP1,30011,Q96B97
SPANXA1,30014,Q9NS26
SLC40A1,30061,Q9NP59
KCNIP3,30818,Q9Y2W7
ZNF354C,30832,Q86Y25
EHD3,30845,Q9NZN3
EHD2,30846,Q9NZN4
